rulemma;F
и;3360
в;2552
я;1919
не;1171
на;1147
как;972
с;704
ты;693
мы;555
что;530
мой;496
быть;481
а;391
о;377
но;347
за;308
к;306
из;292
от;290
вы;279
весь;275
этот;274
у;268
он;258
по;249
они;238
над;227
она;226
твой;214
где;213
тот;213
свой;212
так;207
день;206
сердце;197
ночь;196
под;196
душа;185
рука;182
же;176
когда;170
всё;162
кто;162
глаз;160
любовь;155
земля;152
только;150
любить;148
знать;140
небо;140
для;137
солнце;135
один;129
белый;127
мочь;127
жизнь;125
нет;124
оно;124
то;124
черный;124
наш;121
сон;120
слово;118
идти;116
видеть;113
да;113
миро;112
вот;110
золотой;110
ветер;109
цветок;108
ли;107
стать;107
человек;103
там;102
во;101
петь;101
звезда;96
чтоб;95
без;94
еще;94
каждый;94
кровь;93
луна;93
до;91
бы;89
голос;88
ни;88
здесь;87
такой;87
это;87
есть;86
красный;85
себя;85
хотеть;84
огонь;83
света;83
вода;81
дать;80
ее;79
жить;79
тень;78
друг;77
пусть;77
если;75
лицо;75
окно;75
тело;75
смерть;74
путь;73
бог;72
какой;72
море;72
час;72
голова;71
сказать;71
смотреть;71
губа;70
лишь;70
темный;70
нога;69
голубой;68
говорить;67
год;67
его;67
новый;67
теперь;67
весна;66
вечер;66
гореть;66
нежный;66
река;66
последний;65
дом;64
грудь;63
дорога;63
волна;62
их;62
конь;62
леса;62
луч;62
тоска;62
все;61
поля;61
ждать;60
другой;59
мечта;59
сквозь;59
со;59
народ;58
заря;57
опять;57
прийти;56
словно;56
ж;55
камень;55
гора;54
далекий;54
песнь;54
поэт;54
синий;54
старый;54
будто;53
зеленый;53
счастье;53
туман;53
время;52
город;52
милый;52
помнить;52
слышать;52
снова;52
судьба;52
бледный;51
светлый;51
или;50
много;50
плакать;50
пред;50
узко;50
бежать;49
ваш;49
вдруг;49
умереть;49
легкий;48
туча;48
девушка;47
звук;47
забыть;46
иль;46
имя;46
ко;46
надо;46
пола;46
раз;46
стихи;46
страна;46
желтый;45
ль;45
песня;45
роза;45
снег;45
ведь;44
дух;44
перед;44
плечо;44
радость;44
слава;44
веселый;43
женщина;43
уж;43
ах;42
птица;42
ребенок;42
сам;42
самый;42
сегодня;42
толпа;42
улица;42
взор;41
всегда;41
глядеть;41
даже;41
который;41
тихий;41
точно;41
тяжелый;41
чем;41
биться;40
взять;40
конец;40
крик;40
пора;40
россия;40
верить;39
воздух;39
воля;39
глухой;39
живой;39
корабль;39
кто-то;39
лететь;39
ночной;39
облако;39
стоить;39
уходить;39
холодный;39
месяц;38
око;38
победа;38
полный;38
боль;37
веко;37
гроб;37
даль;37
лежать;37
лета;37
средь;37
страшный;37
злой;36
крест;36
мгла;36
печаль;36
проходить;36
бросать;35
вновь;35
дрожать;35
край;35
кричать;35
лист;35
