word;F
был;88
быть;73
было;57
есть;50
знаю;49
может;44
будет;41
люблю;39
была;33
Есть;30
хочу;29
были;27
вижу;26
буду;25
стал;24
Был;23
Будет;21
могу;21
поет;21
слышу;20
мог;18
видел;17
стало;17
Быть;16
жить;16
слез;16
бьется;15
говорит;15
горит;15
Дай;15
Люблю;15
стоит;15
Знаю;14
любить;14
поют;14
станет;14
умер;14
умереть;14
бросил;13
горят;13
петь;13
плачет;13
пришел;13
сказать;13
стали;13
шел;13
говорю;12
дали;12
помните;12
сказал;12
видит;11
говорят;11
знает;11
знал;11
иду;11
мечтаю;11
помню;11
светит;11
смотрит;11
Было;10
Вижу;10
живет;10
жил;10
Может;10
Смотри;10
стих;10
хотел;10
хочется;10
бейся;9
будем;9
Была;9
верю;9
говорил;9
дам;9
дрожит;9
думал;9
ждет;9
кажется;9
кричат;9
лежит;9
пели;9
Прости;9
смотреть;9
стану;9
уходит;9
хочет;9
чувствую;9
боюсь;8
Буду;8
Будут;8
вернешься;8
Видел;8
Возьми;8
глядит;8
живу;8
идем;8
идет;8
Иди;8
казалось;8
любил;8
можешь;8
плывут;8
прости;8
прядет;8
струится;8
уйти;8
умирают;8
ходит;8
хотела;8
цветет;8
блестят;7
будут;7
взял;7
дай;7
дрожа;7
думать;7
дышит;7
ждал;7
ждали;7
жду;7
живут;7
звал;7
знаешь;7
Идем;7
идешь;7
Иду;7
идут;7
летит;7
летят;7
любишь;7
любя;7
найти;7
Оставь;7
пою;7
придут;7
расскажу;7
сказала;7
слышишь;7
смотрю;7
стоял;7
устал;7
ушел;7
ушла;7
хочешь;7
Хочу;7
целовать;7
шепчет;7
шумит;7
Бегут;6
бежал;6
Берегитесь;6
будешь;6
Будь;6
Были;6
веря;6
внемлет;6
возьми;6
волнуются;6
вошла;6
Вспомни;6
встанет;6
вышел;6
говорить;6
дрожали;6
дышат;6
Забыв;6
забыть;6
звенеть;6
знают;6
Идет;6
Идут;6
искал;6
клянусь;6
кричал;6
кричу;6
могли;6
назвал;6
отдам;6
пел;6
пишу;6
плещется;6
пляшет;6
погас;6
поёт;6
Помнишь;6
помочь;6
Приди;6
приду;6
просила;6
проходит;6
