word;F
в;1859
И;1728
и;1633
не;836
на;805
В;694
я;647
Я;616
как;582
с;525
Как;390
На;341
Не;335
А;319
мне;319
Но;306
что;293
ты;238
к;222
за;213
из;204
О;197
Ты;195
от;194
С;188
Что;186
о;183
у;180
по;177
же;176
мы;166
меня;161
Мы;161
над;140
он;133
все;127
Он;125
Где;117
так;111
под;109
сердце;108
ли;107
мой;106
для;99
его;97
где;96
От;96
За;95
Так;95
Мне;94
Все;93
Когда;93
тебя;92
бы;89
их;89
только;89
был;88
Из;88
У;88
К;87
Над;87
Под;87
во;81
нет;80
Вы;77
когда;77
без;75
день;75
до;75
нам;75
быть;73
а;72
ночь;72
По;72
тебе;72
нас;71
Кто;69
вы;67
Это;67
глаза;66
Да;65
любви;65
ни;64
Пусть;62
час;62
Только;61
ее;59
моей;59
это;59
Вот;58
руки;58
было;57
любовь;56
то;56
ж;55
моя;55
Она;55
еще;54
ночи;54
кто;53
Там;53
То;53
вот;52
жизни;52
солнце;52
жизнь;51
она;51
Чтоб;51
этот;51
есть;50
чем;50
знаю;49
там;49
да;48
свет;48
свой;48
всё;47
голос;47
небо;47
будто;46
сон;46
Здесь;45
ль;45
мир;45
души;44
может;44
мои;44
Нет;44
теперь;44
чтоб;44
лишь;43
мной;43
опять;43
вам;42
здесь;42
земле;42
Нам;42
снова;42
будет;41
земли;41
небе;41
но;41
себя;41
сквозь;41
тот;41
вас;40
ей;40
Если;40
со;40
вечер;39
глаз;39
ко;39
люблю;39
раз;39
слова;39
Для;38
ветер;37
душу;37
лет;37
них;37
тени;37
тобой;37
уже;36
Ах;35
если;35
Они;35
своей;35
смерть;35
тело;35
цветы;35
дух;34
люди;34
сердца;34
эти;34
была;33
вдруг;33
всех;33
дня;33
ней;33
путь;33
твой;33
весь;32
зари;32
кровь;32
Мой;32
надо;32
ним;32
свои;32
Словно;32
Солнце;32
твои;32
твоих;32
дней;31
дни;31
земля;31
они;31
поле;31
черный;31
Ветер;30
всем;30
друг;30
Есть;30
Еще;30
крови;30
море;30
всегда;29
губы;29
ему;29
каждый;29
ночью;29
уж;29
хочу;29
этой;29
1;28
больше;28
Ведь;28
груди;28
Их;28
моих;28
Моя;28
слов;28
туман;28
тучи;28
2;27
были;27
губ;27
душа;27
душе;27
лес;27
Лишь;27
Пред;27
рук;27
счастье;27
Цветы;27
вдали;26
вижу;26
Всё;26
звезд;26
Иль;26
миг;26
много;26
мое;26
наш;26
пути;26
свою;26
сегодня;26
тень;26
точно;26
буду;25
даже;25
дома;25
или;25
Или;25
им;25
лицо;25
Ночь;25
один;25
Россия;25
сам;25
себе;25
такой;25
вновь;24
город;24
звезды;24
имя;24
мечты;24
Ни;24
песни;24
поэт;24
словно;24
слово;24
стал;24
Александрович;23
Был;23
Вам;23
воздух;23
волны;23
время;23
дали;23
золотой;23
кровью;23
луны;23
мною;23
мою;23
ноги;23
Оттого;23
последний;23
пред;23
Теперь;23
тогда;23
б;22
голоса;22
камень;22
луна;22
нами;22
народ;22
неба;22
перед;22
Перед;22
твоей;22
белый;21
боль;21
Будет;21
весна;21
воды;21
вся;21
дом;21
лица;21
людей;21
могу;21
наши;21
поет;21
рукой;21
тех;21
